,train_loss,val_loss,train_r2,train_mae,val_r2,train_rmse,val_rmse,val_mae,batch_size,learning_rate,num_laters,num_neurons
23,0.2739192678664443,0.2933908588244258,0.724498554525255,0.385416804254055,0.7118866295382804,0.2739192724227905,0.2933908596634865,0.4031094744801521,64,0.01,3,64
24,0.29781983424051367,0.30336169962571047,0.7004591764930689,0.402878512442112,0.7021009466675265,0.2978198304772377,0.30336170047521593,0.4095869079232216,64,0.01,10,16
25,0.2756678767378903,0.2844776434597568,0.722740830923401,0.38462164252996445,0.7207100399434236,0.2756678730249405,0.28447764813899995,0.39106178283691406,64,0.01,10,32
26,0.4097922733743863,0.2783817031795037,0.5878378253252807,0.3706570640206337,0.7265662140533171,0.40979230105876924,0.2783817067742348,0.390444977581501,64,0.01,10,64
27,0.3396665706690671,0.34645185207373624,0.658370788344426,0.4320244058966637,0.6597485687315165,0.3396665766835213,0.3464518472552299,0.43715923875570295,128,0.0001,2,16
28,0.29131250725538466,0.29725732702378915,0.7070040986752638,0.3961756482720375,0.7079743481947809,0.2913125053048134,0.297257325053215,0.4025369882583618,128,0.0001,2,32
29,0.26883967265980335,0.2818293392797497,0.7296080744310245,0.3796566009521484,0.7232773365429835,0.26883967220783234,0.281829334795475,0.3900848776102066,128,0.0001,2,64
30,0.32081731729764745,0.32437558547358647,0.6773279838485099,0.4188909366726875,0.6814163671156324,0.3208173170685768,0.32437557727098465,0.42523174434900285,128,0.0001,3,16
31,0.28659528439583,0.2929693703200215,0.7117488877445936,0.3925925925374031,0.7122267475939112,0.28659528493881226,0.292969374358654,0.4009634628891945,128,0.0001,3,32
32,0.2634043428699792,0.2816224547538244,0.7350748740129365,0.37618151158094404,0.7235335595402317,0.2634043410420418,0.2816224545240402,0.3893986791372299,128,0.0001,3,64
33,0.30779322767726625,0.3111889330304672,0.6904264047080864,0.40986679643392565,0.6944395589513035,0.30779322534799575,0.31118893176317214,0.4144354298710823,128,0.0001,10,16
34,0.28082014461034444,0.2892886581821976,0.7175579448508629,0.3889433965086937,0.7158101868921946,0.2808201387524605,0.28928865790367125,0.397502763569355,128,0.0001,10,32
35,0.25820072840274494,0.27784135037354213,0.7403082736820827,0.37195750921964643,0.727174344270319,0.25820072591304777,0.2778413474559784,0.3883370324969292,128,0.0001,10,64
36,0.2855346239262548,0.2923681723110587,0.7128165347006322,0.392744642496109,0.7127475195151345,0.2855346202850342,0.2923681765794754,0.3993488371372223,128,0.001,2,16
37,0.25556141031331403,0.2703488151743033,0.7429638675126548,0.37096578925848006,0.7344608065576214,0.2555614039301872,0.2703488156199455,0.38433708995580673,128,0.001,2,32
38,0.2102655117718144,0.25368659202462046,0.7885208001886926,0.33796377032995223,0.7509056954316538,0.21026551276445388,0.25368659347295763,0.3714857965707779,128,0.001,2,64
39,0.28205596286703216,0.2884468946919263,0.7163154170404573,0.3895432159304619,0.7167747999799838,0.28205596357584,0.28844689279794694,0.39484526962041855,128,0.001,3,16
40,0.250574887240803,0.26992626976326245,0.7479757157397231,0.36754924058914185,0.7348314879715685,0.2505748823285103,0.26992627531290053,0.3824237287044525,128,0.001,3,32
41,0.19877866789675463,0.25617704433954763,0.8000723046585897,0.3296331286430359,0.748254392633179,0.19877866804599761,0.2561770424246788,0.37241232246160505,128,0.001,3,64
