IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,City,DateStart,DateStop,Latitude,Longitude,Typology
6057,548,Benzene,Milano - via Senato,118,MI,Milano,1999-01-01,NA,45.470499014097,9.197460360112531,UT
6764,649,CO,Brescia - Broletto,149,BS,Brescia,1983-01-01,NA,45.540057846971386,10.222818449274216,UT
30162,669,NOx,Brescia - Villaggio Sereno,70,BS,Brescia,2013-01-22,NA,45.513038818653754,10.19194188877931,UB
6426,631,NOx,Piadena,30,CR,Piadena,2002-02-16,2018-07-30,45.12979322367744,10.379831668522419,NA
5552,549,NO2,Milano - P.zza Abbiategrasso,111,MI,Milano,1995-05-20,2018-07-30,45.432197305733055,9.182138919080943,NA
6804,654,Ozone,Sarezzo - via Minelli,269,BS,Sarezzo,2004-03-12,NA,45.64962671224069,10.205090218837002,UB
10049,689,Sulfur_dioxide,Galliavola - AGIP,87,PV,Galliavola,2007-01-01,2017-01-01,45.095121633481334,8.820308319996208,RB
9872,673,PM10,Voghera - via Pozzoni,90,PV,Voghera,2005-07-05,NA,44.99954598914026,9.008437381815693,UB
5677,564,Sulfur_dioxide,Erba - via Battisti,279,CO,Erba,2009-06-13,NA,45.808573806922965,9.221779204488435,UB
10085,695,PM2.5,Ponti sul Mincio,113,MN,Ponti sul Mincio,2007-01-12,NA,45.41277169168634,10.683357343786835,SB
5586,583,NO2,Bergamo - via Meucci,249,BG,Bergamo,1989-06-01,NA,45.69103740547214,9.643650579461385,UB
6232,561,NOx,Como - viale Cattaneo,202,CO,Como,1991-01-01,NA,45.81504286011291,9.06697137484454,UT
5590,587,NO2,Casnigo - via Europa $,514,BG,Casnigo,1989-11-08,2005-05-05,45.81463898053286,9.867700614310943,NA
5955,628,NO2,Cremona - p.zza Libertà $,61,CR,Cremona,1992-11-01,2006-04-04,45.13737896273478,10.032359066275932,NA
9916,668,NOx,Mantova - Lunetta 2,25,MN,Mantova,2004-08-04,2018-07-30,45.157985278189244,10.823931433968092,NA
30159,655,NOx,Darfo (aria),221,BS,Darfo Boario Terme,2013-01-23,NA,45.87460210989037,10.17735680898138,SB
6284,511,NOx,Abbiategrasso,118,MI,Abbiategrasso,1998-01-23,2018-07-30,45.395404490146184,8.913416566778292,NA
10028,685,PM2.5,Calusco d' Adda,273,BG,Calusco d'Adda,2006-06-30,NA,45.69042907854514,9.484260927647789,SB
20042,703,Ammonia,Schivenoglia,NA,MN,Schivenoglia,2013-10-24,NA,45.016877820755425,11.07609463264049,RB
5798,561,CO,Como - viale Cattaneo,202,CO,Como,1991-02-17,NA,45.81504286011291,9.06697137484454,UT
5681,577,Sulfur_dioxide,Calolziocorte,215,LC,Calolziocorte,1993-06-01,2002-11-28,45.80209550514092,9.429467320277878,NA
5725,528,Ozone,Milano - Verziere,116,MI,Milano,1988-09-20,NA,45.463346740666545,9.195324807668857,UT
6374,571,NOx,Bormio,1225,SO,Bormio,1993-11-01,NA,46.46952397132585,10.375432759159036,UB
5674,588,Sulfur_dioxide,Tavernola Bergamasca,191,BG,Tavernola Bergamasca,1990-08-09,2011-09-12,45.71629992411727,10.044765999368437,SI
10023,685,CO,Calusco d' Adda,273,BG,Calusco d'Adda,2006-06-30,NA,45.69042907854514,9.484260927647789,SB
6338,545,NOx,Motta Visconti (aria),100,MI,Motta Visconti,1998-03-17,NA,45.281956197427846,8.988562726793255,SB
9963,508,PM10,Cassano d`Adda - Via di Vona,133,MI,Cassano d'Adda,2006-01-01,2017-12-12,45.52000867032165,9.512220968943545,NA
6665,565,Ozone,Cantù - via Meucci,369,CO,Cantù,2005-01-17,NA,45.73083672267427,9.125734327022926,SB
6306,518,NOx,Galliate,153,NO,Galliate,1992-12-07,2017-01-01,45.46804407930967,8.73676932023362,NA
