"","Date","IDStation","PM2.5"
"819",2018-04-15,583,15
"820",2018-04-16,583,19
"821",2018-04-17,583,23
"822",2018-04-18,583,23
"823",2018-04-19,583,35
"824",2018-04-20,583,32
"825",2018-04-21,583,32
"826",2018-04-22,583,27
"827",2018-04-23,583,29
"828",2018-04-24,583,31
"829",2018-04-25,583,25
"830",2018-04-26,583,21
"831",2018-04-27,583,26
"832",2018-04-28,583,21
"833",2018-04-29,583,21
"834",2018-04-30,583,9
"835",2018-05-01,583,7
"836",2018-05-02,583,7
"837",2018-05-03,583,12
"838",2018-05-04,583,10
"839",2018-05-05,583,14
"840",2018-05-06,583,15
"841",2018-05-07,583,13
"842",2018-05-08,583,14
"843",2018-05-09,583,11
"844",2018-05-10,583,12
"845",2018-05-11,583,15
"846",2018-05-12,583,9
"847",2018-05-13,583,11
"848",2018-05-14,583,6
"849",2018-05-15,583,12
"850",2018-05-16,583,23
"851",2018-05-17,583,11
"852",2018-05-18,583,12
"853",2018-05-19,583,11
"854",2018-05-20,583,10
"855",2018-05-21,583,8
"856",2018-05-22,583,17
"857",2018-05-23,583,10
"858",2018-05-24,583,9
"859",2018-05-25,583,17
"860",2018-05-26,583,21
"861",2018-05-27,583,19
"862",2018-05-28,583,9
"863",2018-05-29,583,10
"864",2018-05-30,583,17
"865",2018-05-31,583,17
"866",2018-06-01,583,13
"867",2018-06-02,583,16
"868",2018-06-03,583,20
"869",2018-06-04,583,17
"870",2018-06-05,583,15
"871",2018-06-06,583,8
"872",2018-06-07,583,9
"873",2018-06-08,583,7
"874",2018-06-09,583,8
"875",2018-06-10,583,8
"876",2018-06-11,583,20
"877",2018-06-12,583,10
"878",2018-06-13,583,5
"879",2018-06-14,583,6
"880",2018-06-15,583,11
"881",2018-06-16,583,14
"882",2018-06-17,583,13
"883",2018-06-18,583,11
"884",2018-06-19,583,13
"885",2018-06-20,583,17
"886",2018-06-21,583,20
"887",2018-06-22,583,15
"888",2018-06-23,583,10
"889",2018-06-24,583,9
"890",2018-06-25,583,10
"891",2018-06-26,583,10
"892",2018-06-27,583,11
"893",2018-06-28,583,10
"894",2018-06-29,583,8
"895",2018-06-30,583,9
"896",2018-07-01,583,14
"897",2018-07-02,583,15
"898",2018-07-03,583,19
"899",2018-07-04,583,13
"900",2018-07-05,583,8
"901",2018-07-06,583,10
"902",2018-07-07,583,8
"903",2018-07-08,583,6
"904",2018-07-09,583,10
"905",2018-07-12,583,13
"906",2018-07-17,583,8
"907",2018-07-18,583,9
"908",2018-07-19,583,12
"909",2018-07-20,583,13
"910",2018-07-21,583,3
"911",2018-07-22,583,5
"912",2018-07-23,583,8
"913",2018-07-24,583,12
"914",2018-07-25,583,17
"915",2018-07-26,583,16
"916",2018-07-27,583,11
"917",2018-07-28,583,15
"918",2018-07-29,583,8
"919",2018-07-30,583,15
"920",2018-07-31,583,17
"921",2018-08-01,583,15
"922",2018-08-02,583,9
"923",2018-08-03,583,9
"924",2018-08-04,583,6
"925",2018-08-05,583,10
"926",2018-08-06,583,18
"927",2018-08-07,583,7
"928",2018-08-08,583,13
"929",2018-08-09,583,10
"930",2018-08-10,583,7
"931",2018-08-11,583,8
"932",2018-08-12,583,6
"933",2018-08-13,583,4
"934",2018-08-14,583,4
"935",2018-08-15,583,1
"936",2018-08-16,583,4
"937",2018-08-17,583,7
"938",2018-08-18,583,6
"939",2018-08-19,583,5
"940",2018-08-20,583,7
"941",2018-08-21,583,8
"942",2018-08-22,583,10
"943",2018-08-23,583,11
"944",2018-08-24,583,9
"945",2018-08-25,583,6
"946",2018-08-26,583,8
"947",2018-08-27,583,4
"948",2018-08-28,583,7
"949",2018-08-29,583,10
"950",2018-08-30,583,20
"951",2018-08-31,583,7
"952",2018-09-01,583,1
"953",2018-09-02,583,5
"954",2018-09-03,583,3
"955",2018-09-04,583,8
"956",2018-09-05,583,6
"957",2018-09-06,583,11
"958",2018-09-07,583,8
"959",2018-09-08,583,10
"960",2018-09-09,583,12
"961",2018-09-10,583,17
"962",2018-09-13,583,23
"963",2018-09-14,583,12
"964",2018-09-15,583,23
"965",2018-09-16,583,21
"966",2018-09-17,583,19
"967",2018-09-18,583,14
"968",2018-09-19,583,17
"969",2018-09-20,583,17
"970",2018-09-21,583,20
"971",2018-09-22,583,16
"972",2018-09-23,583,16
"973",2018-09-24,583,11
"974",2018-09-25,583,8
"975",2018-09-27,583,18
"976",2018-09-28,583,21
"977",2018-09-29,583,16
"978",2018-09-30,583,12
"979",2018-10-01,583,12
"980",2018-10-02,583,8
"981",2018-10-03,583,27
"982",2018-10-04,583,32
"983",2018-10-05,583,22
"984",2018-10-06,583,37
"985",2018-10-07,583,26
"986",2018-10-08,583,28
"987",2018-10-09,583,40
"988",2018-10-10,583,30
"989",2018-10-11,583,22
"990",2018-10-12,583,21
"991",2018-10-13,583,40
"992",2018-10-14,583,33
"993",2018-10-15,583,32
"994",2018-10-16,583,28
"995",2018-10-17,583,34
"996",2018-10-18,583,25
